Address A,Address B,Packets,Bytes,Stream ID,Packets A → B,Bytes A → B,Packets B → A,Bytes B → A,Rel Start,Duration,Bits/s A → B,Bits/s B → A
"142.251.132.42","192.168.0.8",548,167279,1,305,70678,243,96601,0.008186,673.8897999999999,839,1146
"145.190.36.0","192.168.0.8",42,6912,42,18,1638,24,5274,76.455886,536.350691,24,78
"162.125.21.3","192.168.0.8",178,47508,12,90,18904,88,28604,8.906231,625.1071979999999,241,366
"172.64.148.235","192.168.0.8",136,10744,14,68,5304,68,5440,11.510239,660.0665170000001,64,65
"192.168.0.1","192.168.0.8",8,784,56,4,392,4,392,368.791196,2.976187999999979,1053,1053
"192.168.0.1","224.0.0.1",6,360,39,6,360,0,0,44.06934,625.064173,4,0
"192.168.0.2","224.0.0.251",1,81,67,1,81,0,0,550.859858,0,"",""
"192.168.0.6","224.0.0.251",35,3878,20,35,3878,0,0,20.721868,655.477441,47,0
"192.168.0.8","2.16.197.28",595,742742,51,91,10523,504,732219,304.55745,302.241183,278,19381
"192.168.0.8","2.21.0.165",162,135139,61,45,5459,117,129680,482.058165,120.55183200000005,362,8605
"192.168.0.8","2.21.0.166",554,721857,99,67,8291,487,713566,640.372046,37.54869700000006,1766,152029
"192.168.0.8","3.174.29.58",63,21572,72,28,4847,35,16725,614.16614,25.422100999999998,1525,5263
"192.168.0.8","13.107.5.93",117,50836,43,50,11135,67,39701,191.228621,10.400230999999991,8565,30538
"192.168.0.8","13.107.246.34",192,150334,44,77,11370,115,138964,194.450278,391.35875799999997,232,2840
"192.168.0.8","20.42.65.85",42,20622,25,23,12425,19,8197,26.504048,125.521486,791,522
"192.168.0.8","20.189.172.33",22,8300,45,12,2643,10,5657,199.83207,0.8262160000000165,25591,54775
"192.168.0.8","23.13.218.36",37,17352,59,17,1801,20,15551,441.704869,0.2723970000000122,52893,456715
"192.168.0.8","23.200.83.37",8624,11201935,11,1145,129589,7479,11072346,8.812168,629.057005,1648,140811
"192.168.0.8","23.200.83.48",405,420133,50,93,9288,312,410845,303.586625,120.98423599999995,614,27166
"192.168.0.8","23.200.83.50",243,209494,40,70,7300,173,202194,45.068534,120.59296599999999,484,13413
"192.168.0.8","34.107.243.93",126,28454,33,63,8332,63,20122,32.608487,612.271651,108,262
"192.168.0.8","34.120.195.249",23,1398,36,12,672,11,726,42.954333,419.27766199999996,12,13
"192.168.0.8","35.186.224.9",584,245338,13,242,120962,342,124376,10.573066,627.391128,1542,1585
"192.168.0.8","35.186.224.24",391,71811,2,173,31450,218,40361,0.503004,637.4799519999999,394,506
"192.168.0.8","35.186.224.30",866,834044,26,186,13222,680,820822,27.44851,634.432133,166,10350
"192.168.0.8","35.190.80.1",7,438,23,4,240,3,198,24.967192,58.69892,32,26
"192.168.0.8","35.244.154.8",7,438,29,4,240,3,198,30.017243,57.976397999999996,33,27
"192.168.0.8","54.83.18.83",24,1584,38,11,661,13,923,43.957524,318.68951400000003,16,23
"192.168.0.8","57.144.165.33",98,8968,21,49,5066,49,3902,20.951,639.71942,63,48
"192.168.0.8","64.233.186.84",48,15349,49,23,6620,25,8729,280.457961,240.85104799999993,219,289
"192.168.0.8","64.233.186.156",39,11000,79,18,3443,21,7557,615.594159,22.441283999999996,1227,2693
"192.168.0.8","64.233.190.188",34,2116,27,17,968,17,1148,29.010946,646.491076,11,14
"192.168.0.8","104.16.79.73",35,11252,95,17,2586,18,8666,618.705963,20.454260999999974,1011,3389
"192.168.0.8","104.18.32.47",101,94285,84,27,7755,74,86530,616.521521,21.46831999999995,2889,32244
"192.168.0.8","140.82.112.21",26,11290,35,12,3925,14,7365,39.462119,0.993159999999996,31616,59325
"192.168.0.8","142.250.78.161",30,8401,91,14,2182,16,6219,618.16101,19.79057899999998,882,2513
"192.168.0.8","142.250.78.162",4907,685313,83,1488,290910,3419,394403,616.288444,62.03832699999998,37513,50859
"192.168.0.8","142.250.78.163",34,10338,80,15,3744,19,6594,615.887087,22.077101000000084,1356,2389
"192.168.0.8","142.250.78.174",417,155671,5,188,123252,229,32419,1.4197,636.520404,1549,407
"192.168.0.8","142.250.78.182",171,139058,60,58,6270,113,132788,465.122954,172.84123200000005,290,6146
"192.168.0.8","142.250.78.193",98,66911,66,38,6100,60,60811,524.234355,115.8465339999999,421,4199
"192.168.0.8","142.250.78.194",1042,373155,87,507,164539,535,208616,617.723498,23.701098,55538,70415
"192.168.0.8","142.250.78.195",9,679,30,5,342,4,337,30.733429,14.593350999999998,187,184
"192.168.0.8","142.250.78.206",489,243625,52,236,81624,253,162001,346.172681,293.69743199999994,2223,4412
"192.168.0.8","142.250.79.162",2592,967998,86,1255,426343,1337,541655,617.696795,30.47762399999999,111909,142177
"192.168.0.8","142.250.79.164",285,63405,82,88,23715,197,39690,616.047184,24.870930999999928,7628,12766
"192.168.0.8","142.250.79.174",288,172558,100,124,91297,164,81261,646.750113,32.03598999999997,22798,20292
"192.168.0.8","142.250.79.182",159,155122,34,36,2784,123,152338,38.741958,384.09576699999997,57,3172
"192.168.0.8","142.250.218.225",34,12666,78,14,2521,20,10145,615.592996,22.35857199999998,902,3629
"192.168.0.8","142.250.218.226",2606,962243,88,1259,424780,1347,537463,617.80093,30.592885000000024,111079,140545
"192.168.0.8","142.250.219.1",87,29941,92,40,6174,47,23767,618.668076,23.44274299999995,2106,8110
